smithan03,Antwain Smith,-,0,,,,,0
pasecan01,Anžejs Pasečņiks,2020-2021,1,,,,,283
clarkar01,Archie Clark,1967-1976,0,,,,,17744
deesar01,Archie Dees,1959-1962,0,,,,,2587
goodwar01,Archie Goodwin,2014-2017,0,,,,,1577
johnsar04,Archie Johnson,-,0,,,,,0
marshar01,Archie Marshall,-,0,,,,,0
tallear01,Archie Talley,-,0,,,,,0
holmaar01,Aric Holman,-,0,,,,,0
maughar01,Ariel Maughan,1947-1951,0,,,,,2495
onuakar01,Arinze Onuaku,2014-2017,0,,,,,78
curear01,Armand Cure,1947,0,,,,,10
gilliar01,Armen Gilliam,1988-2000,0,,,,,20189
johnsar02,Armon Johnson,2011-2012,0,,,,,262
hillar01,Armond Hill,1977-1984,0,,,,,6325
brookar01,Armoni Brooks,2021-2022,1,,,,,774
moultar01,Arnett Moultrie,2013-2014,0,,,,,402
hallmar01,Arnette Hallman,-,0,,,,,0
ferriar01,Arnie Ferrin,1949-1951,0,,,,,1586
johnsar01,Arnie Johnson,1949-1953,0,,,,,4891
risenar01,Arnie Risen,1949-1958,0,,,,,13702
duggear01,Arnold Dugger,-,0,,,,,0
shortar01,Arnold Short,-,0,,,,,0
kulboar01,Arnoldas Kulboka,2022,1,,,,,0
baynear01,Aron Baynes,2013-2021,1,,,,,5932
stewaar01,Aron Stewart,-,0,,,,,0
afflaar01,Arron Afflalo,2008-2018,0,,,,,11760
kazemar01,Arsalan Kazemi,-,0,,,,,0
beattar01,Art Beatty,-,0,,,,,0
buntear01,Art Bunte,-,0,,,,,0
burriar01,Art Burris,1951-1952,0,,,,,446
colliar01,Art Collins,1981,0,,,,,160
harriar01,Art Harris,1969-1972,0,,,,,3385
heymaar01,Art Heyman,1964-1970,0,,,,,6355
hillhar01,Art Hillhouse,1947-1948,0,,,,,462
housear01,Art Housey,-,0,,,,,0
johnsar03,Art Johnson,-,0,,,,,0
kennyar01,Art Kenney,-,0,,,,,0
longar01,Art Long,2001-2003,0,,,,,712
pressar01,Art Press,-,0,,,,,0
quimbar01,Art Quimby,-,0,,,,,0
sabbar01,Art Sabb,-,0,,,,,0
spectar01,Art Spector,1947-1950,0,,,,,995
spoelar01,Art Spoelstra,1955-1958,0,,,,,3551
stolkar01,Art Stolkey,1947,0,,,,,140
whisnar01,Art Whisnant,-,0,,,,,0
williar01,Art Williams,1968-1975,0,,,,,7001
beckear01,Arthur Becker,1968-1973,0,,,,,8174
helmsar01,Arthur Helms,-,0,,,,,0
gilmoar01,Artis Gilmore,1972-1988,0,,,,,44321
gudaiar01,Artūras Gudaitis,-,0,,,,,0
kellyar01,Arvesta Kelly,1968-1972,0,,,,,2334
kramear01,Arvid Kramer,1980,0,,,,,31
macijar01,Arvydas Macijauskas,2006,0,,,,,59
sabonar01,Arvydas Sabonis,1996-2003,0,,,,,10029
amayaas01,Ashraf Amaya,1996-1997,0,,,,,770
haganas01,Ashton Hagans,2021,1,,,,,0
jonesas01,Askia Jones,1995,0,,,,,72
majokat01,Ater Majok,-,0,,,,,0
davisau01,Aubrey Davis,1947,0,,,,,301
sherrau01,Aubrey Sherrod,-,0,,,,,0
brindau01,Aud Brindley,1947,0,,,,,35
norriau01,Audie Norris,1983-1985,0,,,,,1542
binelau01,Augusto Binelli,-,0,,,,,0
perryau01,Aulcie Perry,1975,0,,,,,306
carrau01,Austin Carr,1972-1981,0,,,,,14341
